date,METHANE
17:41:45.000,00123
17:41:45.500,00056
17:41:46.000,00305
17:41:46.500,00059
17:41:47.000,00003
17:41:47.500,00011
17:41:48.000,00019
17:41:48.500,00026
17:41:49.000,00094
17:41:49.500,00084
17:41:50.000,00082
17:41:50.500,00021
17:41:51.000,00053
17:41:51.500,00023
17:41:52.000,00009
17:41:52.500,00009
17:41:53.000,00065
17:41:53.500,00231
17:41:54.000,00278
17:41:54.500,00170
17:41:55.000,00024
17:41:55.500,00006
17:41:56.000,00011
17:41:56.500,00050
17:41:57.000,00195
17:41:57.500,00230
17:41:58.000,00090
17:41:58.500,00027
17:41:59.000,00011
17:41:59.500,00007
17:42:00.000,00004
17:42:00.500,00006
17:42:01.000,00011
17:42:01.500,00008
17:42:02.000,00023
17:42:02.500,00018
17:42:03.000,00020
17:42:03.500,00017
17:42:04.000,00013
17:42:04.500,00017
17:42:05.000,00040
17:42:05.500,00097
17:42:06.000,00068
17:42:06.500,00011
17:42:07.000,00007
17:42:07.500,00008
17:42:08.000,00013
17:42:08.500,00014
17:42:09.000,00034
17:42:09.500,00057
17:42:10.000,00019
17:42:10.500,00016
17:42:11.000,00009
17:42:11.500,00010
17:42:12.000,00015
17:42:12.500,00024
17:42:13.000,00032
17:42:13.500,00041
17:42:14.000,00034
17:42:14.500,00024
17:42:15.000,00011
17:42:15.500,00005
17:42:16.000,00004
17:42:16.500,00037
17:42:17.000,00102
17:42:17.500,00091
17:42:18.000,00576
17:42:18.500,00712
17:42:19.000,00091
17:42:19.500,00096
17:42:20.000,00041
17:42:20.500,00031
17:42:21.000,00028
17:42:21.500,00041
17:42:22.000,00229
17:42:22.500,00530
17:42:23.000,00157
17:42:23.500,00016
17:42:24.000,00033
17:42:24.500,00032
17:42:25.000,00018
17:42:25.500,00021
17:42:26.000,00023
17:42:26.500,00139
17:42:27.000,00123
17:42:27.500,00045
17:42:28.000,00014
17:42:28.500,00017
17:42:29.000,00012
17:42:29.500,00026
17:42:30.000,00047
17:42:30.500,00059
17:42:31.000,00016
17:42:31.500,00013
17:42:32.000,00022
17:42:32.500,00186
17:42:33.000,00431
17:42:33.500,00343
17:42:34.000,00114
17:42:34.500,00021
17:42:35.000,00012
17:42:35.500,00003
17:42:36.000,00006
17:42:36.500,00014
17:42:37.000,00016
17:42:37.500,00459
17:42:38.000,00990
17:42:38.500,01000
17:42:39.000,00197
17:42:39.500,00014
17:42:40.000,00014
17:42:40.500,00015
17:42:41.000,00146
17:42:41.500,00687
17:42:42.000,00627
17:42:42.500,00280
17:42:43.000,00020
17:42:43.500,00012
17:42:44.000,00025
17:42:44.500,00261
17:42:45.000,00310
17:42:45.500,00071
17:42:46.000,00060
17:42:46.500,00022
17:42:47.000,00023
17:42:47.500,00016
17:42:48.000,00235
17:42:48.500,00421
17:42:49.000,00289
17:42:49.500,00064
17:42:50.000,00014
17:42:50.500,00008
17:42:51.000,00017
17:42:51.500,00157
17:42:52.000,00258
17:42:52.500,00085
17:42:53.000,00024
17:42:53.500,00017
17:42:54.000,00023
17:42:54.500,00152
17:42:55.000,00111
17:42:55.500,00177
17:42:56.000,00111
17:42:56.500,00029
17:42:57.000,00009
17:42:57.500,00012
17:42:58.000,00010
17:42:58.500,00005
17:42:59.000,00009
17:42:59.500,00006
17:43:00.000,00008
17:43:00.500,00013
17:43:01.000,00009
17:43:01.500,00012
17:43:02.000,00058
17:43:02.500,00017
17:43:03.000,00023
17:43:03.500,00032
17:43:04.000,00015
17:43:04.500,00017
17:43:05.000,00016
17:43:05.500,00015
17:43:06.000,00059
17:43:06.500,00037
17:43:07.000,00014
17:43:07.500,00018
17:43:08.000,00019
17:43:08.500,00022
17:43:09.000,00052
17:43:09.500,00023
17:43:10.000,00009
17:43:10.500,00009
17:43:11.000,00011
17:43:11.500,00014
17:43:12.000,00010
17:43:12.500,00033
17:43:13.000,00049
17:43:13.500,00017
17:43:14.000,00022
17:43:14.500,00021
17:43:15.000,00015
17:43:15.500,00024
17:43:16.000,00032
17:43:16.500,00030
17:43:17.000,00016
17:43:17.500,00013
17:43:18.000,00018
17:43:18.500,00031
17:43:19.000,00040
17:43:19.500,00040
17:43:20.000,00041
17:43:20.500,00034
17:43:21.000,00023
17:43:21.500,00012
17:43:22.000,00028
17:43:22.500,00038
17:43:23.000,00010
17:43:23.500,00015
17:43:24.000,00023
17:43:24.500,00024
17:43:25.000,00034
17:43:25.500,00288
17:43:26.000,00331
17:43:26.500,00059
17:43:27.000,00017
17:43:27.500,00029
17:43:28.000,00134
17:43:28.500,00093
17:43:29.000,00245
17:43:29.500,00077
17:43:30.000,00039
17:43:30.500,00023
17:43:31.000,00020
17:43:31.500,00023
17:43:32.000,00020
17:43:32.500,00019
17:43:33.000,00014
17:43:33.500,00016
17:43:34.000,00030
17:43:34.500,00023
17:43:35.000,00021
17:43:35.500,00015
17:43:36.000,00045
17:43:36.500,00043
17:43:37.000,00026
17:43:37.500,00018
17:43:38.000,00101
17:43:38.500,00072
17:43:39.000,00067
17:43:39.500,00039
17:43:40.000,00028
17:43:40.500,00052
17:43:41.000,00049
17:43:41.500,00056
17:43:42.000,00093
17:43:42.500,00070
17:43:43.000,00033
17:43:43.500,00038
17:43:44.000,00052
17:43:44.500,00026
17:43:45.000,00017
